file 1	file 2	# same commits	# commits file 1	# commits file 2
zeeguu/core/model/user_language.py	zeeguu/api/endpoints/leaderboards.py	3	60	13
zeeguu/core/friends/__init__.py	zeeguu/api/endpoints/translation.py	3	4	137
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	zeeguu/core/friends/__init__.py	3	39	4
zeeguu/core/model/friendship.py	zeeguu/api/endpoints/leaderboards.py	3	9	13
zeeguu/core/model/friend_request.py	tools/migrations/26-02-24-a--add_username.sql	3	43	6
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	zeeguu/core/model/user_badge.py	3	39	5
zeeguu/core/friends/listeners.py	zeeguu/core/friends/friend_streak.py	3	13	3
zeeguu/core/audio_lessons/daily_lesson_generator.py	zeeguu/api/endpoints/activity_tracking.py	3	86	34
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	zeeguu/core/model/badge.py	3	39	23
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	zeeguu/api/endpoints/badges.py	3	39	53
zeeguu/core/model/article.py	zeeguu/core/model/__init__.py	3	188	127
zeeguu/core/badges/listeners.py	zeeguu/api/endpoints/leaderboards.py	3	21	13
zeeguu/core/badges/listeners.py	zeeguu/api/endpoints/activity_tracking.py	3	21	34
zeeguu/core/model/user_word.py	zeeguu/core/model/badge.py	3	58	23
zeeguu/core/friends/__init__.py	zeeguu/core/badges/badge_progress.py	3	4	26
zeeguu/core/model/user_language.py	zeeguu/api/endpoints/activity_tracking.py	3	60	34
zeeguu/core/audio_lessons/daily_lesson_generator.py	zeeguu/api/app.py	3	86	78
zeeguu/core/badges/badge_progress.py	zeeguu/api/endpoints/user.py	3	26	101
zeeguu/core/model/user_language.py	zeeguu/core/model/user_badge.py	3	60	5
zeeguu/core/friends/__init__.py	zeeguu/core/audio_lessons/daily_lesson_generator.py	3	4	86
zeeguu/core/model/user_language.py	tools/migrations/26-02-19-b--insert_default_badges.sql	3	60	11
zeeguu/core/model/user_language.py	tools/migrations/26-02-19-a--add_badges.sql	3	60	10
zeeguu/core/friends/listeners.py	zeeguu/core/audio_lessons/daily_lesson_generator.py	3	13	86
zeeguu/core/model/user_avatar.py	zeeguu/core/badges/listeners.py	3	15	21
zeeguu/api/endpoints/leaderboards.py	tools/migrations/26-02-24-friendship_system.sql	3	13	35
zeeguu/core/model/user_word.py	zeeguu/core/model/user_badge.py	3	58	5
zeeguu/core/model/user_word.py	zeeguu/core/audio_lessons/daily_lesson_generator.py	3	58	86
zeeguu/api/endpoints/article_upload.py	tools/migrations/26-04-14--add_article_upload.sql	3	11	3
zeeguu/api/endpoints/translation.py	zeeguu/api/endpoints/activity_tracking.py	3	137	34
zeeguu/core/model/user_word.py	zeeguu/core/badges/listeners.py	3	58	21
zeeguu/core/word_scheduling/basicSR/four_levels_per_word.py	zeeguu/api/endpoints/activity_tracking.py	3	39	34
tools/migrations/26-04-14--add_article_upload.sql	zeeguu/api/endpoints/__init__.py	3	3	51
zeeguu/core/model/user_badge.py	zeeguu/core/model/badge.py	3	5	23
zeeguu/core/friends/listeners.py	zeeguu/core/badges/badge_progress.py	3	13	26
zeeguu/core/model/badge.py	zeeguu/api/endpoints/activity_tracking.py	3	23	34
zeeguu/core/model/user_badge.py	zeeguu/api/app.py	3	5	78
zeeguu/core/friends/friend_streak.py	zeeguu/api/endpoints/friends.py	3	3	85
zeeguu/core/model/article_upload.py	zeeguu/api/endpoints/__init__.py	3	9	51
zeeguu/core/badges/badge_progress.py	zeeguu/api/app.py	3	26	78
zeeguu/core/model/user_badge.py	zeeguu/api/endpoints/badges.py	3	5	53
zeeguu/core/badges/badge_progress.py	zeeguu/api/endpoints/activity_tracking.py	3	26	34
zeeguu/api/endpoints/article_upload.py	zeeguu/core/model/__init__.py	3	11	127
zeeguu/core/model/article_upload.py	zeeguu/core/model/article.py	3	9	188
zeeguu/core/model/article.py	zeeguu/core/llm_services/simplification_and_classification.py	3	188	21
zeeguu/core/badges/badge_progress.py	tools/migrations/26-02-24-friendship_system.sql	3	26	35
zeeguu/core/model/badge.py	zeeguu/core/friends/listeners.py	3	23	13
zeeguu/core/friends/listeners.py	zeeguu/api/endpoints/translation.py	3	13	137
zeeguu/core/friends/__init__.py	zeeguu/api/endpoints/activity_tracking.py	3	4	34
zeeguu/core/model/friend_request.py	zeeguu/api/app.py	2	43	78
zeeguu/core/model/__init__.py	tools/migrations/26-02-24-b--add_username.py	2	127	16
zeeguu/core/model/__init__.py	zeeguu/core/friends/friend_streak.py	2	127	3
zeeguu/core/model/user_badge_progress.py	zeeguu/core/model/user.py	2	9	206
zeeguu/core/events/__init__.py	tools/migrations/26-02-19-b--insert_default_badges.sql	2	4	11
zeeguu/core/model/user_badge.py	tools/migrations/26-02-19-b--insert_default_badges.sql	2	5	11
zeeguu/core/account_management/user_account_creation.py	tools/migrations/26-02-19-a--add_badges.sql	2	51	10
zeeguu/core/user_feature_toggles.py	tools/migrations/26-02-19-b--insert_default_badges.sql	2	51	11
zeeguu/api/endpoints/accounts.py	zeeguu/api/endpoints/badges.py	2	37	53
zeeguu/api/app.py	tools/migrations/26-02-19-a--add_badges.sql	2	78	10
zeeguu/core/audio_lessons/daily_lesson_generator.py	zeeguu/api/endpoints/__init__.py	2	86	51
