Metric		Current
UNIT_SIZE_COMPONENT_ZEEGUU_HIGH_RISK_PERCENTAGE		13.33
UNIT_SIZE_COMPONENT_ZEEGUU_HIGH_RISK_COUNT		44
UNIT_SIZE_COMPONENT_ZEEGUU_VERY_HIGH_RISK_LOC		1,962
UNIT_SIZE_COMPONENT_ZEEGUU_VERY_HIGH_RISK_PERCENTAGE		8.95
UNIT_SIZE_COMPONENT_ZEEGUU_VERY_HIGH_RISK_COUNT		15
UNIT_SIZE_COMPONENT_TOOLS_NEGLIGIBLE_RISK_LOC		830
UNIT_SIZE_COMPONENT_TOOLS_NEGLIGIBLE_RISK_PERCENTAGE		10.2
UNIT_SIZE_COMPONENT_TOOLS_NEGLIGIBLE_RISK_COUNT		157
UNIT_SIZE_COMPONENT_TOOLS_LOW_RISK_LOC		891
UNIT_SIZE_COMPONENT_TOOLS_LOW_RISK_PERCENTAGE		10.95
UNIT_SIZE_COMPONENT_TOOLS_LOW_RISK_COUNT		58
UNIT_SIZE_COMPONENT_TOOLS_MEDIUM_RISK_LOC		3,348
UNIT_SIZE_COMPONENT_TOOLS_MEDIUM_RISK_PERCENTAGE		41.15
UNIT_SIZE_COMPONENT_TOOLS_MEDIUM_RISK_COUNT		97
UNIT_SIZE_COMPONENT_TOOLS_HIGH_RISK_LOC		1,985
UNIT_SIZE_COMPONENT_TOOLS_HIGH_RISK_PERCENTAGE		24.39
UNIT_SIZE_COMPONENT_TOOLS_HIGH_RISK_COUNT		29
UNIT_SIZE_COMPONENT_TOOLS_VERY_HIGH_RISK_LOC		1,083
UNIT_SIZE_COMPONENT_TOOLS_VERY_HIGH_RISK_PERCENTAGE		13.31
UNIT_SIZE_COMPONENT_TOOLS_VERY_HIGH_RISK_COUNT		8
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_LOC		6
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_PERCENTAGE		13.33
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_COUNT		2
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_LOC		15
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_PERCENTAGE		33.33
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_COUNT		1
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_LOC		24
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_PERCENTAGE		53.33
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_COUNT		1
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_PY_NEGLIGIBLE_RISK_LOC		7,417
UNIT_SIZE_EXTENSION_PY_NEGLIGIBLE_RISK_PERCENTAGE		24.39
UNIT_SIZE_EXTENSION_PY_NEGLIGIBLE_RISK_COUNT		1,531
UNIT_SIZE_EXTENSION_PY_LOW_RISK_LOC		5,384
UNIT_SIZE_EXTENSION_PY_LOW_RISK_PERCENTAGE		17.71
UNIT_SIZE_EXTENSION_PY_LOW_RISK_COUNT		375
UNIT_SIZE_EXTENSION_PY_MEDIUM_RISK_LOC		9,594
UNIT_SIZE_EXTENSION_PY_MEDIUM_RISK_PERCENTAGE		31.55
UNIT_SIZE_EXTENSION_PY_MEDIUM_RISK_COUNT		300
UNIT_SIZE_EXTENSION_PY_HIGH_RISK_LOC		4,965
UNIT_SIZE_EXTENSION_PY_HIGH_RISK_PERCENTAGE		16.33
UNIT_SIZE_EXTENSION_PY_HIGH_RISK_COUNT		74
UNIT_SIZE_EXTENSION_PY_VERY_HIGH_RISK_LOC		3,045
UNIT_SIZE_EXTENSION_PY_VERY_HIGH_RISK_PERCENTAGE		10.01
UNIT_SIZE_EXTENSION_PY_VERY_HIGH_RISK_COUNT		23
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		15,198
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_PERCENTAGE		49.99
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_COUNT		1,935
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		6,831
CONDITIONAL_COMPLEXITY_LOW_RISK_PERCENTAGE		22.47
CONDITIONAL_COMPLEXITY_LOW_RISK_COUNT		231
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		5,713
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_PERCENTAGE		18.79
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_COUNT		111
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		2,253
CONDITIONAL_COMPLEXITY_HIGH_RISK_PERCENTAGE		7.41
CONDITIONAL_COMPLEXITY_HIGH_RISK_COUNT		23
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		410
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_PERCENTAGE		1.35
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_COUNT		3
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_COUNT		26
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		2,663
CONDITIONAL_COMPLEXITY_COMPONENT_STANZA_SERVICE_NEGLIGIBLE_RISK_LOC		122
CONDITIONAL_COMPLEXITY_COMPONENT_STANZA_SERVICE_NEGLIGIBLE_RISK_PERCENTAGE		41.92
CONDITIONAL_COMPLEXITY_COMPONENT_STANZA_SERVICE_NEGLIGIBLE_RISK_COUNT		12
CONDITIONAL_COMPLEXITY_COMPONENT_STANZA_SERVICE_LOW_RISK_LOC		78
CONDITIONAL_COMPLEXITY_COMPONENT_STANZA_SERVICE_LOW_RISK_PERCENTAGE		26.8
CONDITIONAL_COMPLEXITY_COMPONENT_STANZA_SERVICE_LOW_RISK_COUNT		3
CONDITIONAL_COMPLEXITY_COMPONENT_STANZA_SERVICE_MEDIUM_RISK_LOC		91
CONDITIONAL_COMPLEXITY_COMPONENT_STANZA_SERVICE_MEDIUM_RISK_PERCENTAGE		31.27
CONDITIONAL_COMPLEXITY_COMPONENT_STANZA_SERVICE_MEDIUM_RISK_COUNT		2
CONDITIONAL_COMPLEXITY_COMPONENT_STANZA_SERVICE_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_STANZA_SERVICE_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_STANZA_SERVICE_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_STANZA_SERVICE_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_STANZA_SERVICE_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_STANZA_SERVICE_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ZEEGUU_NEGLIGIBLE_RISK_LOC		12,234
CONDITIONAL_COMPLEXITY_COMPONENT_ZEEGUU_NEGLIGIBLE_RISK_PERCENTAGE		55.78
